_id,NAME,ROUTE NO,DISTRICT,HOW NAMED,FROM,TO
48,Sonny Bono Memorial Freeway,10,8,"ACR 25, CH 58, 2001",Just west of the Route 111 cutoff near Palm Springs,A point at the bottom of the grade east of the City of Coachella
49,Border Friendship Route,8,11,"SCR 104, CH 254, 1968",San Diego,Arizona State Line
50,Officer Keith Boyer Memorial Highway,605,7,"ACR 76, CH 137, 2017",Junction of Interstate 5/605 (PM R9.612),Obregon Street OC# 53-1529 (PM R13.982)
51,Bracero Memorial Highway,101,5,"ACR 113, CH 86, 2010",exit 312,exit 317
52,CHP Officer Michael Allen Brandt Memorial Highway,74,8,"ACR 100, CH 109, 2012",POSTMILE MARKER - PM 83.000,POSTMILE MARKER - PM 88.000
53,"Arthur H. Breed, Jr. Freeway",580,4,"SCR 5, CH 73, 1983",Castro Valley ,Livermore
54,CHP Officers Brian Law and Juan Gonzalez Memorial Highway,99,6,"ACR 158, CH 176, 2014",TULARE/FRESNO COUNTY LINE - PM R0.000,MOUNTAIN VIEW AVENUE OC# 42-219 - PM R3.742
55,Daniel Broeske Memorial Highway,101,1,"SCR 90, CH 65, 2008",Post Mile 32.1,Post Mile 33.1
56,Charles Brown Highway ,178,9,"SCR 13, CH 25, 1961",Route 127 in Shoshone,Nevada State Line
57,"Congressman George E. Brown, Jr. Memorial Highway",210,8,"ACR 152, CH 175, 2004",I-15,I-215
58,"William Elton ""Brownie"" Brown Freeway",580,10,"ACR 74, CH 127, 1985",I-205,I-5
59,Buffalo Soldiers Memorial Highway,41,6,"ACR 174, CH 134, 2016",Madera/Mariposa county line (PM 1.841),Yosemite National Park (PM 4.918)
60,Alice Peña Bulos Memorial Highway,35,4,"ACR 165, CH 45, 2020","Glencourt Way (Postmile
27.090)",Olympic Way (Postmile 31.061)
61,Luther Burbank Memorial Highway,12,4,"SCR 4, CH 11, 1940",Sebastopol,Santa Rosa
62,Kevin Michael Burrell and James Wayne MacDonald Memorial Highway,710,7,"ACR 178, CH 161, 2016",Junction of Routes 91/710 Sep# 53-2240 (PM 12.970) ,Alondra Blvd OC# 53-822 (PM 13.945)
63,Michael J. Burns Memorial Freeway,101,1,"HR 230, 1949",Eureka,Arcata
