Name,Primary_Occupation,Sex,Race,Birth_Date,Death_Date,Wikipedia_Link
James J Schumacher,,,,,,
James Lick,patron of the arts,male,,1796-08-25,1876-10-01,https://en.wikipedia.org/wiki/James_Lick
James M Goodman,researcher,male,,,,
James Mitchell Mitch Waller,,,,,,
James Rapozo,,,,,,
James Thalman,,,,,,
James Throne,,,,,,
James Wayne Macdonald,,,,,,
Jared M Landaker,,,,,,
Jeffrey Jef Dye,,,,,,
Jeffrey Lynn Azuar,,,,,,
Jenny Oropeza,politician,female,,1957-09-27,2010-10-20,https://en.wikipedia.org/wiki/Jenny_Oropeza
Jere Melo,,,,,,
Jeremiah Mackay,,,,,,
Jerry Medina,,,,,,
Jesus Jesse Sanchez,,,,,,
Jesus S Duran,,,,,,
Jim Costa,politician,male,,1952-04-13,,https://en.wikipedia.org/wiki/Jim_Costa
Jimmy A Arevalo,,,,,,
Jimmy Arty Inn,,,,,,
Joan Bechtel,,,,,,
Joash E Paul,,,,,,
Joe Cox,basketball player,male,,,,
Joe Gatto,baseball player,male,,1995-06-14,,https://en.wikipedia.org/wiki/Joe_Gatto_(baseball)
Joe Levy,,male,,,,
Joe R Landin,,,,,,
Joel B Wahlenmaier,,,,,,
Joel Mendenhall,,,,,,
John B Williams,,male,,,,
John Bailey,film director,male,,1942-08-10,2023-11-10,https://en.wikipedia.org/wiki/John_Bailey_(cinematographer)
John Burton,politician,male,,1932-12-15,2025-09-07,https://en.wikipedia.org/wiki/John_Burton_(American_politician)
John C Begovich,,,,,,
John D Guthrie,,,,,,
John F Foran,,,,,,
John G Veneman,,,,,,
John J Montgomery,,,,,,
John Jack Armatoski,,,,,,
John Mcveigh,American football player,male,,1962-10-19,,
John P Miller,researcher,male,,,,
John Palacios,,,,,,
John Paul Monego,,,,,,
John Pedro,,,,,,
John Pierce,programmer,male,,1954-00-00,,
John Steinbeck,writer,male,Americans,1902-02-27,1968-12-20,https://en.wikipedia.org/wiki/John_Steinbeck
John T Knox,,,,,,
Johnny R Martinez,,,,,,
