Name,Primary_Occupation,Sex,Race,Birth_Date,Death_Date,Wikipedia_Link
Los Angeles County Deputy Sheriff Jack Williams Memorial Highway,,,,,,
Los Angeles County Deputy Sheriff Jerry Ortiz Memorial Highway,,,,,,
"""Los Angeles County Sheriff Deputy Juan Abel Escalante",,,,,,
"Memorial Highway""",,,,,,
Los Angeles County Sheriff's Deputy Shayne Daniel York Memorial Highway,,,,,,
Los Angeles County Sheriff’s Deputy Didier M. Hurdle Memorial Highway,,,,,,
Los Angeles County Sheriff’s Sergeant Steven C. Owen Memorial Highway,,,,,,
Los Angeles County Vietnam Veterans Memorial Highway,,,,,,
Los Angeles Firefighter Kelly Wong Memorial Highway,,,,,,
Los Angeles Police Officer Ian J. Campbell Memorial Highway,,,,,,
Los Angeles Police Officer Steven Gajda Memorial Highway,,,,,,
Lt. Colonel Nguyen Thi Hanh Nhon's Disabled Veterans Memorial Highway,,,,,,
"""Lt. Leonard B. """"Larry"""" Estes and Deputy William R. """"Bill"""" Hunter Memorial Highway""",,,,,,
MacArthur Freeway,,,,,,
Marin County Veterans Memorial Freeway,,,,,,
Marina Freeway,,,,,,
Medal of Honor Memorial Highway,,,,,,
Medal of Honor Recipient Larry Stanley Pierce Memorial Highway,,,,,,
Military Intelligence Service Memorial Highway,,,,,,
Military Servicewomen's Memorial Highway,,,,,,
"""Modesto Police Officer Leo Volk, Jr., and Modesto Police Sergeant Steve May Memorial Highway""",,,,,,
Mojave Freeway,,,,,,
Mono Lake Basin Road,,,,,,
Moreno Valley Freeway,,,,,,
Mother Lode Highway,,,,,,
Muir Woods Toll Road,,,,,,
National Purple Heart Trail,,,,,,
Needles Freeway,,,,,,
Nimitz Freeway,,,,,,https://en.wikipedia.org/wiki/Interstate_880_(California)
Nomlaki Highway,,,,,,
Northern Yosemite Highway,,,,,,
Norwalk Freeway,,,,,,
Ocean Beach Freeway,,,,,,https://en.wikipedia.org/wiki/Interstate_8
Officer Robert Joe Mata and Officer Roberto C. Sanchez Memorial Highway,,,,,,
Officer and Medal of Valor Recipient Waldron G. Karp Memorial Highway,,,,,,
Ojai Freeway,,,,,,
Ontario Freeway,,,,,,
Orange County Korean War Veterans Memorial Highway,,,,,,
Orange County Veterans Memorial Highway,,,,,,
Orange Freeway,,,,,,
Pacific Coast Highway,,,,,,https://en.wikipedia.org/wiki/California_State_Route_1
Pasadena Freeway,,,,,,https://en.wikipedia.org/wiki/Arroyo_Seco_Parkway
Pearl Harbor Memorial Highway,,,,,,https://en.wikipedia.org/wiki/Pearl_Harbor_Memorial_Highway
Pearl Harbor Survivors Memorial Highway,,,,,,
Petroleum Highway,,,,,,
Police Officer Jose “Gil” Vega and Police Officer Lesley Zerebny Memorial Highway,,,,,,
Pomona Freeway,,,,,,
Portola Freeway,,,,,,
Post No. 1747 Veterans of Foreign Wars of the United States Memorial Highway,,,,,,
Purple Heart Veterans Highway,,,,,,
Ralph Fertig Memorial Bicycle-Pedestrian Path,,,,,,
Ramona Freeway,,,,,,
Redondo Beach Freeway,,,,,,
Redwood Highway,,,,,,https://en.wikipedia.org/wiki/U.S._Route_101_in_California
Rim of the World Veterans Memorial Highway,,,,,,
Riverside County Deputy Sheriff Eric Andrew Thach Memorial Freeway,,,,,,
Riverside Freeway,,,,,,https://en.wikipedia.org/wiki/Riverside_Freeway
Robert Louis Stevenson's Historic Trail to Silverado,,,,,,
San Bernardino Freeway,,,,,,https://en.wikipedia.org/wiki/Interstate_10_in_California
San Diego Freeway,,,,,,https://en.wikipedia.org/wiki/San_Diego_Freeway
San Diego Freeway,,,,,,https://en.wikipedia.org/wiki/San_Diego_Freeway
San Gabriel River Freeway,,,,,,
San Jose Police Officer Michael Johnson Memorial Highway,,,,,,
San Luis Rey Mission Expressway,,,,,,https://en.wikipedia.org/wiki/California_State_Route_76
Santa Ana Freeway,,,,,,https://en.wikipedia.org/wiki/Santa_Ana_Freeway
Santa Monica Freeway,,,,,,https://en.wikipedia.org/wiki/Interstate_10_in_California
Santa Paula Freeway,,,,,,
Sears Point Toll Road,,,,,,
Seaside Freeway,,,,,,
Semper Fi Highway,,,,,,
Senior Master Sergeant John James Paoletti Memorial Highway,,,,,,
Sepulveda Freeway,,,,,,
Sequoia-Kings Canyon Freeway,,,,,,
Sergeant 1st Class Sean K. Mitchell Memorial Highway,,,,,,
"""Sergeant Darrell Keith Lee, Sergeant Gary Wayne Wolfley, and Officer Sergio Carrera Jr. Memorial Highway""",,,,,,
Sergeant Gilbert Cortez and K-9 Mattie Memorial Highway,,,,,,
"""Sheriff’s Deputies Ronald Wayne Ives and Daniel Jess Lobo, Jr., Memorial Highway""",,,,,,
Shoreline Highway,,,,,,https://en.wikipedia.org/wiki/California_State_Route_1
Sierra Freeway,,,,,,
Signal Hill Police Officer Anthony “Tony” Giniewicz Memorial Highway,,,,,,
Simi Valley-San Fernando Valley Freeway,,,,,,
Sinclair Freeway,,,,,,https://en.wikipedia.org/wiki/Interstate_680_(California)
Skyline Boulevard,,,,,,https://en.wikipedia.org/wiki/California_State_Route_35
Solano County Deputy Sheriff Hale Humphrey Memorial Highway,,,,,,
Soledad State Prison Correctional Officers Memorial Highway,,,,,,
Sonoma County Veterans Memorial Highway,,,,,,
Sonora and Mono Wagon Road,,,,,,
South Bay Freeway,,,,,,https://en.wikipedia.org/wiki/California_State_Route_54
Southern Yosemite Highway,,,,,,
Special Agent Richard “Rick” K. Oules Memorial Highway,,,,,,
"""Staff Sergeant Salvador J. Lara, Staff Sergeant Ysmael R. Villegas, and Sergeant Jesus S. Duran Memorial Highway""",,,,,,
Stone Turnpike Memorial Freeway,,,,,,
Temecula Valley Freeway,,,,,,
Tinloy Street,,,,,,
Tioga Road,,,,,,
Torrance Freeway,,,,,,
Trinity Scenic Byway,,,,,,
Tuolumne County Vietnam Veterans Memorial Highway,,,,,,
Tuskegee Airmen Highway,,,,,,
Tuskegee Airmen Memorial Highway,,,,,,https://en.wikipedia.org/wiki/Interstate_75_in_Michigan
Twentynine Palms Highway,,,,,,
U.S. Army SP4 Dwayne M. Patterson Memorial Highway,,,,,,
U.S. Submarine Veterans of WWII Memorial Highway,,,,,,
United States Army Chief Warrant Officer 2 Edward Balli Memorial Highway,,,,,,
United States Army Private First Class Conrado D. Javier Memorial Highway,,,,,,
United States Army Sgt. Javier Sanchez Memorial Highway,,,,,,
"""United States Army Specialist Ricardo Cerros, Jr. Memorial Highway""",,,,,,
United States Army Specialist Vilmar Galarza Hernandez Memorial Highway,,,,,,
"""United States Forest",,,,,,
"Service Firefighter Brent Michael Witham Memorial Highway""",,,,,,
United States Navy Lientenant Commander Otis Vincent Tolbert Memorial Highway,,,,,,
Valley of the Moon Scenic Route,,,,,,
"""Ventura County Deputy Sheriff Peter Aguirre, Jr. Memorial Highway""",,,,,,
Ventura County Fire Engineer Ryan Osler Memorial Highway,,,,,,
Ventura County Vietnam Veterans Memorial Highway,,,,,,
Ventura Freeway,,,,,,https://en.wikipedia.org/wiki/Ventura_Freeway
Ventura Freeway Extension,,,,,,
Veterans Boulevard,,,,,,
Veterans Memorial Freeway,,,,,,
Veterans Memorial Freeway,,,,,,
Veterans Memorial Highway,,,,,,https://en.wikipedia.org/wiki/Interstate_15_in_Utah
Veterans of Foreign Wars of the United States Memorial Highway,,,,,,
Veterans' Memorial Highway,,,,,,
Veteran’s Memorial Highway,,,,,,https://en.wikipedia.org/wiki/Nova_Scotia_Highway_102
Vietnam Veterans Memorial Highway,,,,,,
Wabash Boulevard,,,,,,
Warren Boulevard,,,,,,
West Covina Police Officer Kenneth Wrede Memorial Highway,,,,,,
West Side Freeway,,,,,,
West Valley Freeway,,,,,,https://en.wikipedia.org/wiki/California_State_Route_85
Women Veterans' Highway,,,,,,
Yolo and Lake Highway,,,,,,
Yosemite Freeway,,,,,,
“Farm-to-Fork Corridor”,,,,,,
