OBJECTID,RTE_NM,RTE_PRFX,RTE_NBR,RDBD_TYPE,BEGIN_DFO,END_DFO,MEMORIAL_H,ASSET_CMNT,ASSET_NM,DES_TYPE,SYSTEM,Shape__Length,county
203,SH0021-KG,SH,21,KG,161.901,188.059,Memorial to Daughters & Sons of the Rep. of Texas,Minute Order,Memorial Highway,Other,On,49407.3060005744,Nacogdoches
204,US0377-KG,US,377,KG,217.874,218.507,Lance Corporal Mario A. Castillo MH,Local,Memorial Highway,Local,On,1202.47089251473,Denton
205,IH0035W-KG,IH,35,KG,0.0,51.951,Blue Star Memorial Highways,Minute Order,Memorial Highway,Other,On,99540.740604764,Tarrant
206,US0290-KG,US,290,KG,144.987,145.069,Police Chief James M Mumford Memorial Bridge,Local,Memorial Highway,Local,On,154.110278094261,Gillespie
207,US0290-KG,US,290,KG,207.784,207.785,Odis Tomachefsky Memorial Highway,Local,Memorial Highway,Local,On,,Gillespie
208,US0290-KG,US,290,KG,207.81,212.238,Odis Tomachefsky Memorial Highway,Local,Memorial Highway,Local,On,8261.14444630975,Gillespie
209,US0059-KG,US,59,KG,261.743,261.825,Deputy Jessie Earl McFarland Bridge,Local,Memorial Highway,Local,On,153.495796040475,Webb
210,US0067-KG,US,67,KG,527.886,555.994,Trooper Sammy Long Memorial Hwy,Local,Memorial Highway,Local,On,52973.376659103,Presidio
211,SH0178-KG,SH,178,KG,0.0,3.042,Veterans of Foreign Wars Memorial Highway,Minute Order,Memorial Highway,Other,On,5772.81864780032,El Paso
212,SH0036-KG,SH,36,KG,82.64,180.261,36th Division Memorial Highway,Minute Order,Memorial Highway,Other,On,184959.696645451,Comanche
213,US0067-KG,US,67,KG,438.725,439.101,Robert A Junell Overpass,Local,Memorial Highway,Local,On,710.945442547695,Presidio
214,IH0610-KG,IH,610,KG,11.62,12.951,Jefferson Davis National Highway,Minute Order,Memorial Highway,Other,On,2481.43618986534,Harris
215,US0287-KG,US,287,KG,487.569,488.562,Congressman Joe Barton Parkway,Local,Memorial Highway,Local,On,1896.05249770097,Ellis
216,US0190-KG,US,190,KG,322.062,323.745,Staff Sgt Felix Conde-Falcon Memorial Highway,Local,Memorial Highway,Local,On,3168.35176938823,Milam
217,US0084-KG,US,84,KG,412.27,420.708,Blue Star Memorial Highways,Local,Memorial Highway,Local,On,15948.0734778585,Freestone
218,US0082-KG,US,82,KG,411.861,414.098,Deputy Chad Key Memorial Highway,Local,Memorial Highway,Local,On,4329.36417744974,Lamar
219,US0077-KG,US,77,KG,162.147,171.025,CPL William T Warford III Memorial Highway,Local,Memorial Highway,Local,On,16778.5827197011,Kenedy
220,US0077-KG,US,77,KG,174.596,184.431,2nd Lieutenant Darryn D Andrews Memorial Highway,Local,Memorial Highway,Local,On,18564.1828312376,Kenedy
221,SH0021-KG,SH,21,KG,189.725,249.153,Memorial to Daughters & Sons of the Rep. of Texas,Minute Order,Memorial Highway,Other,On,112558.837514177,Nacogdoches
222,US0077-KG,US,77,KG,244.97,277.833,Fayette County Veterans Memorial Highway,Local,Memorial Highway,Local,On,61324.5498497712,Kenedy
223,US0077-KG,US,77,KG,277.929,314.644,Lavaca County Veterans Memorial Highway,Local,Memorial Highway,Local,On,68205.098989085,Kenedy
224,IH0010-KG,IH,10,KG,853.778,879.499,Jefferson Davis National Highway,Minute Order,Memorial Highway,Other,On,47929.7831033875,Hudspeth
225,US0077-KG,US,77,KG,346.219,359.879,Victoria County Veterans Memorial Highway,Local,Memorial Highway,Local,On,25176.6957510298,Kenedy
226,US0077-KG,US,77,KG,255.149,258.547,Dr Martin Luther King Jr Memorial Highway,Local,Memorial Highway,Local,On,6343.16308227418,Kenedy
227,US0077-KG,US,77,KG,315.97,342.698,Victoria County Veterans Memorial Highway,Local,Memorial Highway,Local,On,49396.7138075402,Kenedy
228,US0380-KG,US,380,KG,340.093,343.486,James Poncho Bennett Memorial Highway,Local,Memorial Highway,Local,On,6537.91392245556,Wise
229,SH0036-KG,SH,36,KG,276.811,334.33,36th Division Memorial Highway,Minute Order,Memorial Highway,Other,On,107089.759226208,Comanche
230,SL0335-KG,SL,335,KG,0.0,0.0,Veterans Highway,Local,Memorial Highway,Local,On,,Unknown
231,SH0021-KG,SH,21,KG,250.392,313.036,Memorial to Daughters & Sons of the Rep. of Texas,Minute Order,Memorial Highway,Other,On,118508.737443356,Nacogdoches
232,SL0375-KG,SL,375,KG,1.075,3.428,Elizabeth F Hernandez Memorial Hike and Bike Trail,Local,Memorial Highway,Local,On,4466.21362880463,El Paso
233,IH0035-KG,IH,35,KG,152.998,238.043,Jefferson Davis National Highway,Minute Order,Memorial Highway,Other,On,158361.90775969,Bexar
234,IH0010-KG,IH,10,KG,0.0,139.765,Jefferson Davis National Highway,Minute Order,Memorial Highway,Other,On,264352.501670546,Hudspeth
235,SH0095-KG,SH,95,KG,117.249,126.202,Sergeant David M Furrh Memorial Hwy,STATE,Memorial Highway,State,On,16650.1897206893,Bastrop
236,IH0037-KG,IH,37,KG,17.332,143.004,Purple Heart Trail,STATE,Memorial Highway,State,On,231394.042196922,Atascosa
237,FM0666-KG,FM,666,KG,14.122,20.459,Kollyn Barton Memorial Highway,STATE,Memorial Highway,State,On,11589.5899746308,Nueces
238,IH0010-KG,IH,10,KG,0.0,13.714,Blue Star Memorial Highways,Minute Order US85-Concurrency,Memorial Highway,Other,On,26143.0582467341,Hudspeth
239,IH0010-KG,IH,10,KG,260.828,272.637,Blue Star Memorial Highways,Minute Order US385-Concurrency,Memorial Highway,Other,On,22174.0300714262,Hudspeth
240,US0062-KG,US,62,KG,153.243,194.934,Blue Star Memorial Highways,Minute Order US385 - Concurrency,Memorial Highway,Other,On,80264.9985405145,Gaines
241,US0067-KG,US,67,KG,556.423,588.176,Blue Star Memorial Highways,Minute Order US385 - Concurrency,Memorial Highway,Other,On,59800.7549604958,Presidio
242,US0087-KG,US,87,KG,36.6,51.709,Blue Star Memorial Highways,Minute Order US385,Memorial Highway,Other,On,30075.5120782414,Tom Green
243,IH0035E-KG,IH,35,KG,0.0,93.448,Blue Star Memorial Highways,Minute Order - Concurrent US77,Memorial Highway,Other,On,179333.33017215,Dallas
244,IH0035-KG,IH,35,KG,470.508,503.4,Blue Star Memorial Highways,Minute Order - Concurrent US77,Memorial Highway,Other,On,63782.1052396026,Bexar
245,IH0069-KG,IH,69,KG,35.257,74.679,Blue Star Memorial Highways,Minute Order - Concurrent US59,Memorial Highway,Other,On,73658.8614733865,Harris
246,US0271-KG,US,271,KG,16.819,109.098,Blue Star Memorial Highways,Minute Order,Memorial Highway,Other,On,178100.298974087,Lamar
247,US0059-KG,US,59,KG,13.103,263.472,Blue Star Memorial Highways,Minute Order,Memorial Highway,Other,On,476689.348097091,Webb
248,US0067-KG,US,67,KG,658.914,693.297,Jefferson Davis National Highway,Minute Order,Memorial Highway,Other,On,64240.2244907854,Presidio
249,US0190-KG,US,190,KG,343.953,352.78,36th Division Memorial Highway,Minute Order,Memorial Highway,Other,On,16615.6969230483,Milam
250,US0385-KG,US,385,KG,0.0,30.611,Blue Star Memorial Highways,Minute Order,Memorial Highway,Other,On,61181.4732844595,Crane
251,US0385-KG,US,385,KG,284.099,399.342,Blue Star Memorial Highways,Minute Order,Memorial Highway,Other,On,219692.588550962,Crane
252,US0385-KG,US,385,KG,46.004,242.223,Blue Star Memorial Highways,Minute Order,Memorial Highway,Other,On,384760.445605167,Crane
253,US0385-KG,US,385,KG,444.561,501.063,Blue Star Memorial Highways,Minute Order,Memorial Highway,Other,On,106075.474620791,Crane
254,US0385-KG,US,385,KG,502.063,541.542,Blue Star Memorial Highways,Minute Order,Memorial Highway,Other,On,73711.7863559414,Crane
255,US0271-KG,US,271,KG,126.595,134.557,Blue Star Memorial Highways,Minute Order,Memorial Highway,Other,On,15221.2118920734,Lamar
256,US0090-KG,US,90,KG,658.658,734.097,Jefferson Davis National Highway,Minute Order,Memorial Highway,Other,On,140457.646223742,Terrell
257,US0090-KG,US,90,KG,0.0,73.397,Jefferson Davis National Highway,Minute Order,Memorial Highway,Other,On,137778.321389818,Terrell
258,US0077-KG,US,77,KG,346.291,417.679,Blue Star Memorial Highways,Minute Order,Memorial Highway,Other,On,130949.201825007,Kenedy
259,US0077-KG,US,77,KG,428.15,518.239,Blue Star Memorial Highways,Minute Order,Memorial Highway,Other,On,163598.981343089,Kenedy
260,US0377-KG,US,377,KG,55.652,89.393,Blue Star Memorial Highways,Minute Order,Memorial Highway,Other,On,65029.4631819596,Denton
261,US0090-KG,US,90,KG,107.731,453.624,Jefferson Davis National Highway,Minute Order,Memorial Highway,Other,On,641964.830527032,Terrell
262,US0087-KG,US,87,KG,358.662,359.664,Veterans of Foreign Wars Memorial Highway,Minute Order,Memorial Highway,Other,On,1913.8566464392,Tom Green
263,US0087-KG,US,87,KG,359.671,609.111,Veterans of Foreign Wars Memorial Highway,Minute Order,Memorial Highway,Other,On,470959.956048176,Tom Green
264,US0087-KG,US,87,KG,247.865,347.975,Veterans of Foreign Wars Memorial Highway,Minute Order,Memorial Highway,Other,On,192641.619097539,Tom Green
265,US0290-KG,US,290,KG,125.114,207.785,Jefferson Davis National Highway,Minute Order,Memorial Highway,Other,On,154276.273445063,Gillespie
266,US0290-KG,US,290,KG,207.803,274.374,Jefferson Davis National Highway,Minute Order,Memorial Highway,Other,On,124015.887317864,Gillespie
267,US0085-KG,US,85,KG,0.017,5.476,Blue Star Memorial Highways,Minute Order,Memorial Highway,Other,On,10376.0143345453,El Paso
268,US0287-KG,US,287,KG,568.441,585.059,Blue Star Memorial Highways,Minute Order,Memorial Highway,Other,On,31564.3085978914,Ellis
269,US0287-KG,US,287,KG,443.382,493.639,Blue Star Memorial Highways,Minute Order,Memorial Highway,Other,On,96117.7902811236,Ellis
270,US0287-KG,US,287,KG,512.106,567.262,Blue Star Memorial Highways,Minute Order,Memorial Highway,Other,On,104839.299052392,Ellis
271,US0079-KG,US,79,KG,219.63,220.942,The 36th Division Memorial Highway,Minute Order,Memorial Highway,Other,On,2460.45198276066,Williamson
272,US0190-KG,US,190,KG,308.197,340.173,36th Division Memorial Highway,Minute Order,Memorial Highway,Other,On,60187.3085870987,Milam
273,US0087-KG,US,87,KG,0.017,122.157,Veterans of Foreign Wars Memorial Highway,Minute Order,Memorial Highway,Other,On,242572.079099952,Tom Green
274,US0077-KG,US,77,KG,187.051,190.559,The 36th Division Memorial Highway,Minute Order,Memorial Highway,Other,On,6597.26243186634,Kenedy
275,SH0087-KG,SH,87,KG,252.313,254.848,George Sealy Memorial Drive,Minute Order,Memorial Highway,Other,On,4705.57604163091,Galveston
276,SHOSR-KG,SH,0,KG,0.076,61.882,Memorial to Daughters & Sons of the Rep. of Texas,Minute Order,Memorial Highway,Other,On,116357.882074498,Madison
277,SH0079-KG,SH,79,KG,0.0,27.916,El Camino East/West Corridor,Minute Order,Memorial Highway,Other,On,54291.6735538541,Clay
278,SH0021-KG,SH,21,KG,0.019,106.38,Memorial to Daughters & Sons of the Rep. of Texas,Minute Order,Memorial Highway,Other,On,198674.904084567,Nacogdoches
279,SH0036-KG,SH,36,KG,0.004,80.796,36th Division Memorial Highway,Minute Order,Memorial Highway,Other,On,153976.887057864,Comanche
280,SH0173-KG,SH,173,KG,0.0,23.936,173D Airborne Brigade Memorial Highway,STATE 225.0274,Memorial Highway,State,On,44649.8007143006,Medina
281,SH0095-KG,SH,95,KG,53.524,69.621,10th Mountain Division Highway,STATE 225.027,Memorial Highway,State,On,30153.7137760178,Bastrop
282,SH0071-KG,SH,71,KG,123.506,146.05,10th Mountain Division Highway,STATE 225.027,Memorial Highway,State,On,42061.0101205596,Fayette
283,FM0390-KG,FM,390,KG,0.0,29.556,Scenic Highway,STATE 225.026,Memorial Highway,State,On,55249.787110491,Washington
284,US0059-KG,US,59,KG,338.141,610.952,Senator Lloyd Bentsen Highway,STATE 225.025,Memorial Highway,State,On,500568.131063313,Webb
285,IH0069-KG,IH,69,KG,0.0,34.99,Senator Lloyd Bentsen Highway,STATE 225.025,Memorial Highway,State,On,64936.3606637832,Harris
286,TL0008-KG,,8,KG,0.0,87.826,Sam Houston Parkway,STATE 225.024,Memorial Highway,State,On,164870.424561462,Harris
287,SH0288-KG,SH,288,KG,11.451,59.866,Nolan Ryan Expressway,STATE 225.023,Memorial Highway,State,On,89772.5518024793,Brazoria
288,IH0069E-KG,IH,69,KG,14.935,51.294,Purple Heart Trail,STATE 225.0225 - Concurrent IH77,Memorial Highway,State,On,65379.7982211095,Cameron
289,IH0069E-KG,IH,69,KG,52.893,58.966,Purple Heart Trail,STATE 225.0225 - Concurrent IH77,Memorial Highway,State,On,11096.9437605266,Cameron
290,SH0100-KG,SH,100,KG,0.081,24.671,Purple Heart Trail,STATE 225.0225,Memorial Highway,State,On,43975.6526414761,Cameron
291,PR0100-KG,PR,100,KG,0.0,11.584,Purple Heart Trail,STATE 225.0225,Memorial Highway,State,On,20830.6205258902,Cameron
292,IH0035-KG,IH,35,KG,466.7,503.415,Purple Heart Trail,STATE 225.0225,Memorial Highway,State,On,71172.5321165452,Bexar
293,IH0035-KG,IH,35,KG,0.0,370.035,Purple Heart Trail,STATE 225.0225,Memorial Highway,State,On,689490.251141359,Bexar
294,IH0040-KG,IH,40,KG,0.0,177.141,Purple Heart Trail,STATE 225.0225,Memorial Highway,State,On,348515.418377879,Oldham
295,IH0035E-KG,IH,35,KG,0.199,96.281,Purple Heart Trail,STATE 225.0225,Memorial Highway,State,On,184409.103251548,Dallas
296,BU0083S-KG,BU,83,KG,0.0,45.885,Texas Vietnam Veterans Memorial Highway,STATE 225.0225,Memorial Highway,State,On,82129.7065775435,Hidalgo
297,US0083-KG,US,83,KG,461.128,669.724,Texas Vietnam Veterans Memorial Highway,STATE 225.022,Memorial Highway,State,On,386103.402209359,Webb
298,US0083-KG,US,83,KG,189.972,366.947,Texas Vietnam Veterans Memorial Highway,STATE 225.022,Memorial Highway,State,On,340616.794065258,Webb
299,US0083-KG,US,83,KG,368.001,455.466,Texas Vietnam Veterans Memorial Highway,STATE 225.022,Memorial Highway,State,On,165394.758052271,Webb
300,US0083-KG,US,83,KG,60.506,142.435,Texas Vietnam Veterans Memorial Highway,STATE 225.022,Memorial Highway,State,On,161878.907275586,Webb
301,US0083-KG,US,83,KG,0.0,50.882,Texas Vietnam Veterans Memorial Highway,STATE 225.022,Memorial Highway,State,On,101454.49931306,Webb
302,US0062-KG,US,62,KG,345.98,392.969,Texas Vietnam Veterans Memorial Highway,STATE 225.022,Memorial Highway,State,On,91959.2349239912,Gaines
303,US0083-KG,US,83,KG,688.389,819.493,Texas Vietnam Veterans Memorial Highway,STATE 225.022,Memorial Highway,State,On,236678.699132842,Webb
304,US0380-KG,US,380,KG,280.324,290.539,Henry H King Memorial Highway,STATE 225.---,Memorial Highway,State,On,19660.9290258641,Wise
305,US0084-KG,US,84,KG,93.28,132.497,Trooper Jonathan Thomas McDonald Memorial Highway,STATE 225.---,Memorial Highway,State,On,75596.1979847186,Freestone
306,UA0090-KG,UA,90,KG,53.954,63.657,Sheriff Ronnie Dodds Memorial Hwy,STATE 225.---,Memorial Highway,State,On,17945.7597875089,Wharton
307,FM0649-KG,FM,649,KG,29.527,39.314,State Trooper David Lee Nevarez Memorial Highway,STATE 225.---,Memorial Highway,State,On,17745.1177521593,Jim Hogg
308,FM1462-KG,FM,1462,KG,20.162,32.056,Lieutenant Colonel Roy Lin Tisdale Mem Hwy,STATE 225.---,Memorial Highway,State,On,21998.7949080579,Brazoria
309,SL0079-KG,SL,79,KG,0.0,11.982,Judge Mike L Fernandez Loop,STATE 225---,Memorial Highway,State,On,22216.3541426426,Val Verde
310,SH0035-KG,SH,35,KG,0.0,7.618,John B. Coleman Memorial Highway,STATE 220.035,Memorial Highway,State,On,14182.7793204215,Brazoria
311,SH0016-KG,SH,16,KG,461.783,473.219,Al Dean Memorial Highway,STATE  225.123,Memorial Highway,State,On,20937.2943137951,Duval
312,US0080-KG,US,80,KG,91.856,119.097,Texas Historic Highway,STATE,Memorial Highway,State,On,52067.2258690692,Harrison
313,SH0071-KG,SH,71,KG,234.915,248.069,Roy P Benavidez Memorial Highway,STATE,Memorial Highway,State,On,24394.8453169291,Fayette
314,SH0103-KG,SH,103,KG,0.0,12.576,El Camino East/West Corridor,STATE 225.0401,Memorial Highway,State,On,23746.0922679535,Angelina
315,SH0007-KG,SH,7,KG,112.303,142.797,El Camino East/West Corridor,STATE 225.0401,Memorial Highway,State,On,57567.3642779186,Houston
316,IH0010-KG,IH,10,KG,61.774,476.697,El Camino East/West Corridor,STATE 225.0401,Memorial Highway,State,On,779351.197474421,Hudspeth
317,IH0010-KG,IH,10,KG,0.0,18.646,El Camino Real de Tierra Adentro,STATE 225.0401,Memorial Highway,State,On,35520.4501464778,Hudspeth
318,US0385-KG,US,385,KG,348.772,399.276,La Entrada al Pacifico Corridor,STATE 225.040,Memorial Highway,State,On,95803.0899638965,Crane
319,US0090-KG,US,90,KG,107.72,130.039,La Entrada al Pacifico Corridor,STATE 225.040,Memorial Highway,State,On,41700.4695435335,Terrell
320,SH0349-KG,SH,349,KG,0.0,64.747,La Entrada al Pacifico Corridor,STATE 225.040,Memorial Highway,State,On,123823.329473645,Midland
321,SH0349-KG,SH,349,KG,74.757,126.998,La Entrada al Pacifico Corridor,STATE 225.040,Memorial Highway,State,On,99287.7980461965,Midland
322,SH0349-KG,SH,349,KG,153.782,167.071,La Entrada al Pacifico Corridor,STATE 225.040,Memorial Highway,State,On,25041.6610748923,Midland
323,SH0349-KG,SH,349,KG,131.094,149.28,La Entrada al Pacifico Corridor,STATE 225.040,Memorial Highway,State,On,34365.0837814737,Midland
324,IH0020-KG,IH,20,KG,116.565,126.68,La Entrada al Pacifico Corridor,STATE 225.040,Memorial Highway,State,On,19218.7508732024,Howard
325,FM1788-KG,FM,1788,KG,0.0,54.209,La Entrada al Pacifico Corridor,STATE 225.040,Memorial Highway,State,On,103781.027302018,Andrews
326,SH0123-KG,SH,123,KG,19.191,21.396,Senator John Traeger Memorial Highway,STATE 225.0395,Memorial Highway,State,On,4099.05452998377,Guadalupe
327,US0281-KG,US,281,KG,345.232,357.673,Congressman Frank M. Tejeda Memorial Highway,STATE 225.039,Memorial Highway,State,On,23076.1412774149,Jim Wells
328,SS0408-KG,SS,408,KG,0.0,4.226,Patriot Parkway,STATE 225.038,Memorial Highway,State,On,8119.51126077401,Dallas
329,US0087-KG,US,87,KG,661.138,670.146,"The Bishop Ernest T. Dixon, Jr., Memorial Parkway",STATE 225.037,Memorial Highway,State,On,16655.2157289956,Tom Green
330,SH0035-KG,SH,35,KG,7.617,114.955,Stephen F. Austin Memorial Highway,STATE 225.036,Memorial Highway,State,On,198267.160640206,Brazoria
331,SH0359-KG,SH,359,KG,0.0,53.065,Veterans of the Korean War Memorial Highway,STATE 225.0341,Memorial Highway,State,On,96240.8777995531,Webb
332,SH0016-KG,SH,16,KG,514.203,514.998,Veterans of the Korean War Memorial Highway,STATE 225.0341,Memorial Highway,State,On,1447.44926563706,Duval
333,US0190-KG,US,190,KG,373.479,392.826,Texas Korean War Veterans Memorial Highway,STATE 225.034,Memorial Highway,State,On,36371.2060637779,Milam
334,US0180-KG,US,180,KG,182.527,200.941,Texas Korean War Veterans Memorial Highway,STATE 225.034,Memorial Highway,State,On,35275.1939311163,Shackelford
335,SH0006-KG,SH,6,KG,402.303,449.712,Texas Korean War Veterans Memorial Highway,STATE 225.034,Memorial Highway,State,On,88908.7340439781,Eastland
336,SH0006-KG,SH,6,KG,176.969,245.737,Texas Korean War Veterans Memorial Highway,STATE 225.034,Memorial Highway,State,On,131100.474026728,Eastland
337,SH0006-KG,SH,6,KG,143.264,176.842,Texas Korean War Veterans Memorial Highway,STATE 225.034,Memorial Highway,State,On,64342.6166992426,Eastland
338,SH0006-KG,SH,6,KG,249.94,380.776,Texas Korean War Veterans Memorial Highway,STATE 225.034,Memorial Highway,State,On,247934.442726239,Eastland
339,SH0006-KG,SH,6,KG,481.189,551.045,Texas Korean War Veterans Memorial Highway,STATE 225.034,Memorial Highway,State,On,129630.542690322,Eastland
340,SH0006-KG,SH,6,KG,0.0,124.838,Texas Korean War Veterans Memorial Highway,STATE 225.034,Memorial Highway,State,On,242078.064955881,Eastland
341,US0075-KG,US,75,KG,70.132,73.311,George W Bush Expressway,STATE 225.0331,Memorial Highway,State,On,6118.03530724446,Collin
342,TL0161-KG,,161,KG,0.0,40.049,President George Bush Highway,STATE 225.033,Memorial Highway,State,On,77021.3182681654,Dallas
343,US0175-KG,US,175,KG,0.0,1.971,S. M. Wright Freeway,STATE 225.032,Memorial Highway,State,On,3784.54596305493,Kaufman
344,SH0310-KG,SH,310,KG,0.0,3.232,S. M. Wright Freeway,STATE 225.032,Memorial Highway,State,On,6214.44752173681,Dallas
345,FM1929-KG,FM,1929,KG,15.145,40.75,"Ray C. Stoker, Jr. Highway",STATE 225.031,Memorial Highway,State,On,48465.8769070956,Concho
346,FM0503-KG,FM,503,KG,9.197,23.27,"Ray C. Stoker, Jr. Highway",STATE 225.031,Memorial Highway,State,On,26759.7648936585,Coleman
347,US0290-KG,US,290,KG,167.616,183.532,Henry G. Lehman Highway,STATE 225.030,Memorial Highway,State,On,29671.4311209601,Gillespie
348,US0290-KG,US,290,KG,125.101,144.499,Presidential Corridor,STATE 225.029,Memorial Highway,State,On,36221.4877257241,Gillespie
349,SH0021-KG,SH,21,KG,55.275,116.283,Presidential Corridor,STATE 225.029,Memorial Highway,State,On,114242.974438469,Nacogdoches
350,IH0002-KG,IH,2,KG,4.292,7.651,WWII Veterans 349th Regiment 88th ID,STATE 225.0286,Memorial Highway,State,On,6019.80143629329,Hidalgo
351,US0080-KG,US,80,KG,0.0,152.093,World War II Veterans Memorial Highway,STATE 225.0285,Memorial Highway,State,On,290984.243809016,Harrison
352,US0080-KG,US,80,KG,156.803,159.549,World War II Veterans Memorial Highway,STATE 225.0285,Memorial Highway,State,On,5248.49034693858,Harrison
353,IH0020-KG,IH,20,KG,0.017,423.715,World War II Veterans Memorial Highway,STATE 225.0285,Memorial Highway,State,On,806808.228328994,Howard
354,IH0030-KG,IH,30,KG,0.0,53.507,World War II Veterans Memorial Highway,STATE 225.0285,Memorial Highway,State,On,102483.217372031,Tarrant
355,IH0010-KG,IH,10,KG,0.0,186.578,World War II Veterans Memorial Highway,STATE 225.0285,Memorial Highway,State,On,352419.297166477,Hudspeth
356,US0290-KG,US,290,KG,0.0,39.91,Pearl Harbor Memorial Highway,STATE 225.028,Memorial Highway,State,On,74491.465721326,Gillespie
357,US0290-KG,US,290,KG,41.744,71.647,Pearl Harbor Memorial Highway,STATE 225.028,Memorial Highway,State,On,55808.5292843694,Gillespie
358,SH0071-KG,SH,71,KG,154.248,206.406,95TH Division Memorial Highway,STATE 225.0277,Memorial Highway,State,On,97119.7540958865,Fayette
359,FM1535-KG,FM,1535,KG,0.0,8.066,Second Indian Head Division Memorial Highway,STATE 225.0276,Memorial Highway,State,On,14997.0657462411,Bexar
360,IH0010-KG,IH,10,KG,580.076,590.724,90TH Infantry Division Highway,STATE 225.0275,Memorial Highway,State,On,19712.7471957772,Hudspeth
361,US0067-KG,US,67,KG,611.827,752.971,La Entrada al Pacifico Corridor,STATE 225.040,Memorial Highway,State,On,264065.67349548,Presidio
362,IH0035-KG,IH,35,KG,0.0,18.235,Ports-to-Plains Corridor,STATE 225.069,Memorial Highway,State,On,33314.3269141332,Bexar
363,US0281-KG,US,281,KG,214.647,331.281,American Legion Memorial Highway,STATE 225.062,Memorial Highway,State,On,218528.983962683,Jim Wells
364,US0281-KG,US,281,KG,406.401,553.257,American Legion Memorial Highway,STATE 225.062,Memorial Highway,State,On,267623.284833009,Jim Wells
365,US0281-KG,US,281,KG,0.0,212.45,American Legion Memorial Highway,STATE 225.062,Memorial Highway,State,On,407524.866593256,Jim Wells
366,US0281-KG,US,281,KG,345.232,375.753,American Legion Memorial Highway,STATE 225.062,Memorial Highway,State,On,56515.4922892248,Jim Wells
367,US0281-KG,US,281,KG,570.777,626.547,American Legion Memorial Highway,STATE 225.062,Memorial Highway,State,On,99820.7774872341,Jim Wells
368,US0287-KG,US,287,KG,433.154,439.947,"Dr. Martin Luther King, Jr. ,Freeway",STATE 225.066,Memorial Highway,State,On,13034.2390755979,Ellis
369,SH0285-KG,SH,285,KG,0.0,35.235,Veterans of the Korean War Memorial Highway,STATE 225.062,Memorial Highway,State,On,63763.8919876515,Brooks
370,IH0069C-KG,IH,69,KG,0.0,17.457,American Legion Memorial Highway,STATE 225.062,Memorial Highway,State,On,31438.1091024441,Hidalgo
371,IH0027-KG,IH,27,KG,0.958,124.005,Marshall Formby Memorial Highway,STATE 225.060,Memorial Highway,State,On,240772.123054468,Hale
372,US0290-KG,US,290,KG,239.594,274.374,Ronald Reagan Memorial Highway,STATE 225.059,Memorial Highway,State,On,64767.8462034706,Gillespie
373,IH0020-KG,IH,20,KG,485.244,634.479,Ronald Reagan Memorial Highway,STATE 225.059,Memorial Highway,State,On,285213.165178319,Howard
374,IH0020-KG,IH,20,KG,422.728,456.795,Ronald Reagan Memorial Highway,STATE 225.059,Memorial Highway,State,On,65216.9062959927,Howard
375,PR0100-KG,PR,100,KG,11.584,13.933,Queen Isabella Memorial Bridge,STATE 225.057,Memorial Highway,State,On,4202.20277145544,Cameron
376,IH0027-KG,IH,27,KG,0.0,124.182,Ports-to-Plains Corridor,STATE 225.069,Memorial Highway,State,On,242979.287516243,Hale
377,SHNASA-KG,SH,0,KG,0.0,7.978,NASA Parkway,STATE 225.056,Memorial Highway,State,On,14797.3233492282,Harris
378,FM0528-KG,FM,528,KG,1.79,9.415,NASA Parkway,STATE 225.056,Memorial Highway,State,On,14142.6843035602,Galveston
379,US0287-KG,US,287,KG,105.156,109.088,"L. P. """"Pete"""" Gilvin Memorial Highway",STATE 225.055,Memorial Highway,State,On,7737.13998063646,Ellis
380,IH0030-KG,IH,30,KG,14.928,45.401,Tom Landry Highway,STATE 225.054,Memorial Highway,State,On,58359.9843150604,Tarrant
381,US0259-KG,US,259,KG,98.514,105.657,Charles K. Devall Memorial Highway,STATE 225.053,Memorial Highway,State,On,13672.4224044057,Nacogdoches
382,US0069-KG,US,69,KG,222.108,324.299,Big Thicket National Preserve Parkway,STATE 225.052,Memorial Highway,State,On,192275.406322262,Tyler
383,SL0375-KG,SL,375,KG,32.961,48.994,Cesar Chavez Border Highway,STATE 225.051,Memorial Highway,State,On,30428.1846616362,El Paso
384,FM0528-KG,FM,528,KG,1.804,8.757,Ralph L. Lowe Parkway,STATE 225.050,Memorial Highway,State,On,12898.6437219752,Galveston
385,SH0349-KG,SH,349,KG,0.0,64.924,Ports-to-Plains Corridor,STATE 225.069,Memorial Highway,State,On,124160.71308468,Midland
386,SH0195-KG,SH,195,KG,0.0,34.641,Phantom Warriors Highway,STATE 225.049,Memorial Highway,State,On,65294.5789651209,Williamson
387,PR1836A-KG,PR,1836,KG,0.0,1.208,Juan N. Seguin Boulevard,STATE 225.047,Memorial Highway,State,On,2251.25593084584,Harris
388,BU0087M-KG,BU,87,KG,0.0,5.438,Ports-to-Plains Corridor,STATE 225.069,Memorial Highway,State,On,10398.7694805105,Howard
389,SH0225-KG,SH,225,KG,0.0,15.787,Texas Independence Highway,STATE 225.046,Memorial Highway,State,On,29289.8094672058,Harris
390,FM0457-KG,FM,457,KG,0.0,27.741,"Sergeant Joe Parks, Jr. Memorial Highway",STATE 225.045,Memorial Highway,State,On,51136.6784232203,Matagorda
391,FM0604-KG,FM,604,KG,0.0,51.096,Atlas ICBM Highway,STATE 225.044,Memorial Highway,State,On,97612.4659056129,Callahan
